20150720T105130;14.50;0.79;12.78;0;00000000T000000;-1.00;-1.00;-1.00;-1.00;-1.00;0;
20150720T105131;14.50;0.82;12.78;0;00000000T000000;-1.00;-1.00;-1.00;-1.00;-1.00;0;
20150720T105132;14.50;0.82;12.78;0;00000000T000000;-1.00;-1.00;-1.00;-1.00;-1.00;0;
20150720T105133;14.56;0.79;12.79;0;00000000T000000;-1.00;-1.00;-1.00;-1.00;-1.00;0;
20150720T105134;14.63;0.82;12.79;0;00000000T000000;-1.00;-1.00;-1.00;-1.00;-1.00;0;
20150720T105135;14.63;0.82;12.79;0;00000000T000000;-1.00;-1.00;-1.00;-1.00;-1.00;0;
20150720T105136;14.63;0.82;12.79;0;00000000T000000;-1.00;-1.00;-1.00;-1.00;-1.00;0;
20150720T105137;14.69;0.82;12.79;0;00000000T000000;-1.00;-1.00;-1.00;-1.00;-1.00;0;
20150720T105138;14.69;0.82;12.81;0;00000000T000000;-1.00;-1.00;-1.00;-1.00;-1.00;0;
20150720T105139;14.75;0.86;12.81;0;00000000T000000;-1.00;-1.00;-1.00;-1.00;-1.00;0;
20150720T105140;14.75;0.86;12.81;0;00000000T000000;-1.00;-1.00;-1.00;-1.00;-1.00;0;
20150720T105141;14.75;0.82;12.81;0;00000000T000000;-1.00;-1.00;-1.00;-1.00;-1.00;0;
20150720T105142;14.81;0.89;12.81;0;00000000T000000;-1.00;-1.00;-1.00;-1.00;-1.00;0;
20150720T105143;14.81;0.86;12.81;0;00000000T000000;-1.00;-1.00;-1.00;-1.00;-1.00;0;
20150720T105144;14.81;0.86;12.82;0;00000000T000000;-1.00;-1.00;-1.00;-1.00;-1.00;0;
20150720T105145;14.88;0.86;12.82;0;00000000T000000;-1.00;-1.00;-1.00;-1.00;-1.00;0;
20150720T105146;14.88;0.86;12.82;0;00000000T000000;-1.00;-1.00;-1.00;-1.00;-1.00;0;
20150720T105147;14.88;0.86;12.82;0;00000000T000000;-1.00;-1.00;-1.00;-1.00;-1.00;0;
20150720T105148;14.94;0.89;12.82;0;00000000T000000;-1.00;-1.00;-1.00;-1.00;-1.00;0;
20150720T105149;14.94;0.86;12.82;0;00000000T000000;-1.00;-1.00;-1.00;-1.00;-1.00;0;
